title,key
JSF3: Remove ManagedBeans,MYFACES-4254
Hapus file dukungan app,MYFACES-4253
Classpath._searchDir can throw NullPointerException,MYFACES-4252
Differences in some API classes between MyFaces 2.3 and Mojarra 2.3,MYFACES-4251
NullPointerException triggered as consequence of FaceletsCompilerSupport.loadLibraries,MYFACES-4250
[perf] minor change in CDataEndEscapeFilterWriter to not call str.charAt multiple times,MYFACES-4249
OpenWebBeansELResolverComparator references outdated openwebbeans package,MYFACES-4248
[perf] minor performance improvements in FastWriter and a couple Renderers,MYFACES-4247
(Startup)FacesContext not available in ServletContextListener,MYFACES-4246
Component not found on ajax update response,MYFACES-4245
[perf] Use StringBuilder rather than calling write many times to increase performance,MYFACES-4244
Dynamic resource loading doesn't catch resources added via viewRoot#AddComponentResources,MYFACES-4243
[perf] check _ApplicationUtils#_traverseListenerListWithCopy,MYFACES-4242
MF 2.3 crashes without CDI,MYFACES-4241
<f:websocket /> onopen eventhandler is called only the first time,MYFACES-4240
[perf] Additional performance improvements,MYFACES-4239
Single quote not properly encoded in renderkit.html.util.HTMLEncoder,MYFACES-4238
[perf] Performance update when checking for duplicate ids,MYFACES-4237
Add package-info.java to javax.faces.bean with @Deprecated,MYFACES-4236
[perf] DataModelBuilderProxy uses CDI.current().getBeanManager() rather than cached BeanManager in application map,MYFACES-4235
Due to spec issue 1257 we need to use intern() on FACELET_CONTEXT_KEY value,MYFACES-4234
Support generics return type on myfaces-builder-plugin,MYFACES-4233
Update UIWebsocket signature in the JSF 2.3 API,MYFACES-4232
Update SearchExpressionContextFactory and FaceletCache signature methods in the JSF 2.3 API,MYFACES-4231
IE 11 an javascript error occured after rerender part of the page,MYFACES-4230
Regression in Spec Issue 790: Cross form submit,MYFACES-4229
File Descriptor leak in DefaultFaceletFactory,MYFACES-4228
Dynamic Resource Loading doesn't work,MYFACES-4227
Update ExternalContextWrapper.getInitParameterMap signature method,MYFACES-4226
[perf] Negative-Cache whether a file exists in ExternalContextResourceLoader,MYFACES-4225
AnnotatedFlowConfigurator.configureAnnotatedFlows is broken,MYFACES-4224
FacesContext ViewRoot is Null - in JSF1.1.9,MYFACES-4223
"MYFACES-4203 regresses ui:repeat , can't update the step",MYFACES-4222
" javax.faces.annotation.FacesConfig.Version contains values not specified by specification",MYFACES-4221
ViewHandler DISABLE_FACELET_JSF_VIEWHANDLER_PARAM_NAME is incorrect,MYFACES-4220
"JavaScript: method parameter should not be named as ""arguments""",MYFACES-4219
AJAX parser should be more tolerant against white spaces (JavaScript),MYFACES-4218
javax.faces.annotation.ManagedProperty.value should not have a default value,MYFACES-4217
ViewHandler.getWebsocketURL should be abstract / WEBSOCKET_PORT move,MYFACES-4216
Update WebsocketEvent.getUser() signature,MYFACES-4215
"The wrong content type of ""text/html"" is set for Ajax responses",MYFACES-4214
DateTimeConverter.isJava8DateTimeFormatter needs to be private,MYFACES-4213
onSelect / getSelect should not be implemented on some components,MYFACES-4212
HtmlCommandScript should not implement ClientBehaviorHolder,MYFACES-4211
ResponseWriterWrapper does not match spec class ,MYFACES-4210
Please delete old releases from mirroring system,MYFACES-4209
PartialViewContext.getEvalScripts() should be abstact and ResponseWriterWrapper.getWrapped() should not be abstract,MYFACES-4208
javax.faces.event.WebsocketEvent should be final,MYFACES-4207
2.3 API missing @Deprecated annotations in some instances,MYFACES-4206
javax.faces.context.ExternalContext.encodeWebsocketURL(java.lang.String) should be abstract,MYFACES-4205
Porlets: compatibility issues with view state handling on the client,MYFACES-4204
UIRepeat begin+end doesn't work correctly,MYFACES-4203
[perf] FacesServletMappingUtils.isFacesServlet calls ClassUtils.simpleClassForName on every request,MYFACES-4202
InstantiationException for ConfigurableNavigationHandler that does not have a default constructor,MYFACES-4201
Issues with JSF 2.3 resource pushing using PushBuilder,MYFACES-4200
NPE with <f:selectItem>,MYFACES-4199
Injection on custom navigation handlers does not work,MYFACES-4198
Injected bean storage list is created on every request in development mode,MYFACES-4197
Add warning if USE_ENCRYPTION is false,MYFACES-4196
Unexpected NullPointerException thrown in IterableDataModel,MYFACES-4195
javax.faces.validator save/restore state NPE updates,MYFACES-4194
javax.faces.convert.EnumConverter.getAsString null value problem,MYFACES-4193
UISelectOne processValidators should call super.processValidators,MYFACES-4192
Non-Faces request to Servlet does not return correct path for Resource,MYFACES-4191
Remove onselect attribute from SELECT elements,MYFACES-4190
Multi valued query parameter not considered in commandbutton action,MYFACES-4189
Forward port changes in MYFACES-4048 to JSF 2.3,MYFACES-4188
ResourceHandler.createResource methods should throw NPE,MYFACES-4187
[perf] concurrency issue in _ComponentAttributesMap,MYFACES-4186
MYFACES-4183 causes an issue with getViews,MYFACES-4185
NullPointerException in markRenderedResources,MYFACES-4184
Behavior difference between JSF 2.2 and JSF 2.3 when using facelet prefixes,MYFACES-4183
javax.faces.component.search.ComponentNotFoundException,MYFACES-4182
Grouped SelectOneRadio doesn't set the for attribute of the label correctly,MYFACES-4181
ResourceVisitOption.TOP_LEVEL_VIEWS_ONLY behavior different between MyFaces and Mojarra,MYFACES-4180
"OutputLabel should ignore ""component not found""",MYFACES-4179
Entering JSF Flow via ViewAction does not add required query params,MYFACES-4178
FacesServletMappingUtils.isFacesServlet improvement,MYFACES-4177
Search expression fails to resolve component outside of form,MYFACES-4176
template XHTML file fails to load when in /resources dir,MYFACES-4175
Use Locale.forLanguageTag as defined in JSF 2.3 spec section 2.5.2.1,MYFACES-4174
Clean up WELD warnings : WELD-000146: BeforeBeanDiscovery.addAnnotatedType(AnnotatedType<?>) used for class,MYFACES-4173
Fix addSearchExpressionHandler method name and getSearchExpressionContextFactory return list,MYFACES-4172
Create a new web-facesconfig.xsd schema for JSF 2.3,MYFACES-4171
Implement JSF 2.3 Spec Issue 1430 - Use @Repeatable for ListenerFor and ResourceDependency,MYFACES-4170
selectOneRadio grouping broken,MYFACES-4169
"As part of MYFACES-3250 the org.apache.myfaces.ee6 package was renamed to org.apache.myfaces.ee, multiple pom.xmls still point to ee6 package",MYFACES-4168
MyFaces doesn't validate composite:attribute type class,MYFACES-4167
Make FACES_SERVLET_ADDED_ATTRIBUTE key public,MYFACES-4166
f:param values are not in request map when nested in h:commandScript,MYFACES-4165
"Unexpected behavior when javax.faces.ViewState is set to ""stateless"" in a State view",MYFACES-4164
h:commandScript execute attribute does not have a default value,MYFACES-4163
bug in the response handling if a full page is sent via ajax,MYFACES-4162
Component in facet not relocated in composite component,MYFACES-4161
ViewState not written for Ajax request,MYFACES-4160
Update FacesValidator and FacesBehavior annotations target,MYFACES-4159
JSF 2.3 Spec Issue 1300: UIViewRoot.getViewMap uses incorrect publishEvent method,MYFACES-4158
Myfaces parses commented code from xhtml and throws property not found exception,MYFACES-4157
Myface is not showing the FacesMessage after validation when ValidatorException is thown.,MYFACES-4156
For inputFile upload when multipart form is submitted the actionListener is not able to get the file.getSubmittedFileName() ,MYFACES-4155
The browser (chrome) always show the previous page name while its on the current page rendered properly,MYFACES-4154
h:selectOneRadio when rendered inside h:panelGroup which is right aligned stands out from the group,MYFACES-4153
Add missing @Override,MYFACES-4152
"When @FacesConfig is not present, EL resolution in managed beans should not be performed ",MYFACES-4151
Remove SUPPORT_EL_3_IMPORT_HANDLER,MYFACES-4150
"f:validateWholeBean components ""disabled"" attribute does not work",MYFACES-4149
Removed unused context parameters and log warnings,MYFACES-4148
Remove CDI_MANAGED_CONVERTERS_ENABLED and CDI_MANAGED_VALIDATORS_ENABLED,MYFACES-4147
Remove @ResolveComponent,MYFACES-4146
Remove < EL 2.2 compatibility hacks as we also removed servlet 2.5 compatibility,MYFACES-4145
Removed unused classes,MYFACES-4144
Remove Servlet 2.5 compatibility hacks,MYFACES-4143
"Wrong style format for ""long"" when using f:convertDateTime with new types",MYFACES-4142
JSF 2.3 Spec Issue 1436 - Push resources via PushBuilder,MYFACES-4141
NullPointerException instead of InvalidViewIdException,MYFACES-4140
Utility method in ClassUtils to not throw exception,MYFACES-4139
Issue with some JSF Artifacts eligible for injection,MYFACES-4138
[perf] Apply NetBeans performance hints,MYFACES-4137
Classloader issue with a serializable object when using whole bean validation feature,MYFACES-4136
Use Java8 instead of commons,MYFACES-4135
Update to commons-collections 4,MYFACES-4134
Don't deserialize the ViewState-ID if the state saving method is server,MYFACES-4133
Search expression doesn't work as expected when expression is id:keyword,MYFACES-4132
<ui:repeat/> begin and end do not look to be implemented / working,MYFACES-4131
CDI @ManagedProperty does not work with all types,MYFACES-4130
"When @FacesConfig annotation is used in a CDI bean, implicit EL objects don't work",MYFACES-4129
"pushComponentToEL should be called before isVisitable is called in visitTree of UIData, UIForm, UINamingContainer and UIRepeat",MYFACES-4128
Unexpected exception thrown when FlowMap is injected on a RequestScoped bean,MYFACES-4127
Implicit objects flowScope and view cannot be injected using CDI,MYFACES-4126
Response committed too early due to flush from StateWriter,MYFACES-4125
Wrong user properties map is used when using <f:websocket> and onOpen method is invoked,MYFACES-4124
[per] expensive call on javax.faces.validator.BeanValidator.validate(),MYFACES-4123
Auto scroll doesn't work anymore for some environment,MYFACES-4122
Fix javadoc for 2.3 branch and update maven-javadoc-plugin ,MYFACES-4121
ResourceHandler#markResourceRendered() should be retained during ajax rebuild,MYFACES-4120
Disposal method from PushContextFactoryBean is missing @Push annotation,MYFACES-4119
Implement new changes of javax.faces.ViewState update on ajax for multiple forms,MYFACES-4118
No default name for @FacesComponent with createTag=true and no tagName,MYFACES-4117
Implement JDK 8 time support in f:convertDateTime,MYFACES-4116
"Implement h:selectOneRadio ""group"" (distributed radio button)",MYFACES-4115
Add disabled attribute to h:button,MYFACES-4114
Implement h:panelGrid rowClass,MYFACES-4113
Implement h:dataTable rowClass,MYFACES-4112
Implement h:column styleClass property,MYFACES-4111
Implement javax.faces.model.IterableDataModel,MYFACES-4110
Implement f:validateWholeBean,MYFACES-4109
Implement FaceletCache.setCacheFactories(...),MYFACES-4108
StringIndexOutOfBoundsException in getResourceVersion,MYFACES-4107
Implement ResourceHandler.markResourceRendered(...) and ResourceHandler.isResourceRendered(...),MYFACES-4106
Implement extensionless mapping of views,MYFACES-4105
Update plugins to compile java 8 code in JSF 2.3 branch,MYFACES-4104
Implement ViewHandler.getViews(...),MYFACES-4103
Check improvements in FlowHandler for JSF 2.3,MYFACES-4102
Implement f:importConstants,MYFACES-4101
Default view pool is enabled for all views by default when cache mode is alwaysRecompile only,MYFACES-4100
Allow resolve #{cc} inside templates called from a composite component,MYFACES-4099
Implement ResourceHandler.getViewResources(...),MYFACES-4098
Implement CDI changes for @FacesConfig,MYFACES-4097
Implement CDI extension for @ManagedProperty,MYFACES-4096
Implement CDI extension for @FacesBehavior,MYFACES-4095
Implement CDI extension for @FacesValidator,MYFACES-4094
Implement CDI extension for @FacesConverter,MYFACES-4093
Implement CDI extension for @FacesDataModel,MYFACES-4092
Add custom type support in UIData and UIRepeat,MYFACES-4091
Add Map support in UIData and UIRepeat,MYFACES-4090
Add Iterable support in UIData and UIRepeat,MYFACES-4089
Add constructor with facesContext to event classes,MYFACES-4088
Add PostRenderViewEvent,MYFACES-4087
Deprecate native managed beans annotations,MYFACES-4086
"Constants for ""jsf.js"", ""javax.faces"" and postback parameters",MYFACES-4085
Implement f:importConstants,MYFACES-4084
Add copy constructor to wrappers,MYFACES-4083
Composite component binding doesn't work,MYFACES-4082
h inputFile size limit,MYFACES-4081
f:ajax does not interpret @this keyword properly,MYFACES-4080
Implement CDI changes for JSF 2.3,MYFACES-4079
Expose StateCacheFactory/StateCache as a SPI service,MYFACES-4078
GRAVE - Exception loading sessions from persistent storage,MYFACES-4077
ajax event listeners not called,MYFACES-4076
SearchExpression API,MYFACES-4075
MyFaces + Primefaces: Dynamic ui:include + UIData (with rowStatePreserved) rendering problem,MYFACES-4074
h:inputFile required attribute ignored,MYFACES-4073
passthrough checked always set,MYFACES-4072
Implement dynamic resource loading in ajax requests,MYFACES-4071
Implement h:commandScript and related api,MYFACES-4070
Implement f:websocket and related api,MYFACES-4069
Ajax-Listener (PrimeFaces) is not called for some selection-components,MYFACES-4068
UnsatisfiedResolutionException during JNDI lookup of CDI BeanManager,MYFACES-4067
FlowBuilderFactoryBean Concurrency Issue,MYFACES-4066
Did not handled empty string while creating the resource,MYFACES-4065
EL 3.0 Collection construction broken,MYFACES-4064
Facelet when loaded with navigation-case ignores contracts mapping,MYFACES-4063
Building site (Tobago) crashes,MYFACES-4062
Update archetypes and use new maven container plugins like tomee,MYFACES-4061
Required attribute of h:inputFile tag is not working,MYFACES-4060
InputValueHolder not required while defined as such in composite,MYFACES-4059
ProtectedViewException for a protectedview access while checking the OriginHeader for appContextPath,MYFACES-4058
Serializable ViewScopeContextualStorage references non-serializable BeanManager ,MYFACES-4057
ViewRoot update ignores <body> class attribute,MYFACES-4056
Localized JSF error and information messages not displayed,MYFACES-4055
Webapp with underscore in it's name leads to failed session-cookies,MYFACES-4054
PartialViewContextImpl does not fully implement the requirements outlined in section 2.2.6.1 of the JSF 2.2 Spec,MYFACES-4053
Multiple <f:param> with same name encodes only last one in link URL,MYFACES-4052
FacesMessage.Severity always set to ERROR after ValidatorException,MYFACES-4051
Validators not invoked for empty selectManyCheckbox components,MYFACES-4050
JSF myfaces unsynchronized access to a WeakHashMap ,MYFACES-4049
TransientStateHolder values must be stored in the state if current phase is before render response,MYFACES-4048
@PreDestroy method not invokved on javax.faces.bean.ViewScoped beans on Session invalidation,MYFACES-4047
Allow programmatic component with ui:include with ui:param,MYFACES-4046
Review Faces Flow reentrant condition,MYFACES-4045
Flow ID Ambiguity Is Not Handled Well,MYFACES-4044
PostAddToViewEvent in RENDER_RESPONSE not fired on postback requests when partial-state-saving is turned off,MYFACES-4043
Improve startup time by skipping classpath jar scan for *.faces-config.xml,MYFACES-4042
EL evaluation fails when state is saved because FaceletState object is not present,MYFACES-4041
<f:param> name conflicts with <f:ajax> attributes,MYFACES-4040
Even after renderResponse set in the beforePhase of the InvokeApplication PhaseListener - events are still broadcasted,MYFACES-4039
Flow beans are destroyed before flow is finalized,MYFACES-4038
RuntimePermissions required for protected packages when security manager enabled,MYFACES-4037
UIData state is not restorable when rowStatePreserved is set to true,MYFACES-4036
f:setPropertyActionListener can not assign variable from another Beans with composite component in MyFaces,MYFACES-4035
submitForm() not defined for myfaces.JSF_JS_MODE 'minimal-modern',MYFACES-4034
Weird behavior with form authencation / forward / restore view,MYFACES-4033
upgrade common-beanutils to 1.9.2,MYFACES-4032
Facelets does not render empty XHTML attribute,MYFACES-4031
MyFaces CDI support is disabled if non-CDI application is loaded first,MYFACES-4030
Updating a value within c:forEach not possible when using MyFaces and Spring Webflow,MYFACES-4029
Custom Taglib with composite components and JSTL,MYFACES-4028
Increase import range for javax.el-api to include version 3.0 of javax.el-api,MYFACES-4027
Composite Component cc.clientId not usable in custom tag,MYFACES-4026
Incorrect JS content-type,MYFACES-4025
Update the NOTICE.txt file in jsf.myfaces,MYFACES-4024
NullPointerException accessing an attribute of a component within c:forEach and partial state saving activated,MYFACES-4023
Faces Flows are not discovered when the web application is packaged inside an EAR,MYFACES-4022
"blacklist org.codehaus.groovy.runtime.,org.apache.commons.collections.functors.,org.apache.xalan in  MyFacesObjectInputStream",MYFACES-4021
Update commons-collections to 3.2.2,MYFACES-4020
Updating a bound value not possible if input component is within c:forEach,MYFACES-4019
"FacesComponent Property ""not found on type javax.faces.component.UINamingContainer""",MYFACES-4018
custom expression factory not correctly loaded,MYFACES-4017
Error when submitting an Ajax request for an element without an ID,MYFACES-4016
[perf] provide annotation scanning via CDI extension,MYFACES-4015
Log required startup time,MYFACES-4014
action of h:commandButton rendered in h:dataTable doesn't navigate to action page,MYFACES-4013
Documentation wrong about Error handling,MYFACES-4012
Old namespaces in tld-files,MYFACES-4011
MyFaces 2.2 throws UnsupportedOperationException with an eager ManagedBean with ManagedProperty,MYFACES-4010
outputLink URL encoding ,MYFACES-4009
AbstractMethodError thrown by javax.servlet.http.Part.getSubmittedFileName(),MYFACES-4008
HtmlSelectOneMenu using previous value when setting the dropdown to the empty select item,MYFACES-4007
EL in Composite Component Attribut gets no access to bound params from <ui:param>,MYFACES-4006
Classloading conflict with httpclient (update commons-codec to 1.10),MYFACES-4005
Non-jsf-attribute enctype of passthrough form generates faces message,MYFACES-4004
"Allow the ""class"" Attribute To Be Set For Custom Tags",MYFACES-4003
Regression? - References to external entities not working with WebXmlParser,MYFACES-4002
Outdated java.sun.com XML namespaces in 2.2 tagdoc,MYFACES-4001
Some MyFaces JSF 2.2 API signatures do not match the Java EE 7 API,MYFACES-4000
Contextual Instance lookup code is broken,MYFACES-3999
improve BanManger lookup for CDI-1.1,MYFACES-3998
Attribute jsf:styleClass does not make a passthrough element a component,MYFACES-3997
Value of HTML-Attribute class on Passthrough element is casted to java.lang.Class if coming from EL,MYFACES-3996
Remove DoubleCheckedLockingCheck from checkstyle rules,MYFACES-3995
javax.faces.ViewState is not appended back on ajax update of stateless view,MYFACES-3993
f:ajax doesn't append javax.faces.ViewState back on re-render of form in stateless view,MYFACES-3992
New flow-scoped bean is created when passing outbound parameter,MYFACES-3991
Syntax error in DOAP file release section,MYFACES-3990
MalformedURLException when javax.faces.FACELETS_LIBRARIES contains line feed,MYFACES-3989
An empty tag in a custom tag-lib causes an Exception,MYFACES-3988
NPE in FlashImpl.isKeepMessages,MYFACES-3987
viewScope implicit object not resolved in a JSP page,MYFACES-3986
[perf] avoid field initialization on CDI beans,MYFACES-3985
Unable to add an ELResolver programmatically when application includes flows defined with xml,MYFACES-3984
"ViewScopeBinding does not work, results in an exception when using a datatable",MYFACES-3983
javax.faces.context.ExternalContext#getInitParameter should throw NPE when name is null,MYFACES-3982
Unable to resolve Integer API as Lambda expression in a facelet,MYFACES-3981
c:forEach varStatus is assigned with the wrong base,MYFACES-3980
Passthrough Element textarea is never set in the backing bean,MYFACES-3979
NullPointerException in FaceletStateValueExpression when ViewPooling enabled,MYFACES-3978
"12.1.3 add this text to the javax.faces.STATE_SAVING_METHOD spec. When examining the value, the runtime must ignore the case.",MYFACES-3977
f:viewAction phase attribute reverts to INVOKE_APPLICATION,MYFACES-3976
PreClearFlashEvent called on every JSF request regardless of Flash use,MYFACES-3975
"Ajax delay attribute with a value of  ""none"" does not work",MYFACES-3974
"<partial-response> element does not contain an ""id"" attribute",MYFACES-3973
SPEC_PUBLIC-1026 is not supported,MYFACES-3972
ui:repeat var & varStatus attributes are not a javax.el.ValueExpression,MYFACES-3971
11.4.2.1 topic Each <contract-mapping> element can have  one or more <contract> elements.,MYFACES-3970
Flow initalizer called before inbound parameters are set,MYFACES-3969
org.apache.myfaces.config.FacesConfigurator throws  java.lang.IndexOutOfBoundsException,MYFACES-3968
View Pooling - ViewScope missing for Static Structure Views,MYFACES-3967
"Setting oamEnableViewPool=""false"" causes NullPointerException in ViewPoolProcessor.pushPartialView()",MYFACES-3966
SKIP_ITERATION visit hint not set when component tree is visited during navigation,MYFACES-3965
c:foreach not working when using custom equals or non serializable objects,MYFACES-3964
Duplicate ID exception thrown while iterating with c:forEach,MYFACES-3962
ajax misbehavior for readonly bean property,MYFACES-3961
AjaxBehaviorEvent should be queued before ActionEvent,MYFACES-3960
f:metadata inside ui:remove will be also executed,MYFACES-3959
FacesConfigurator  last modified from .taglib.xml causes IndexOutOfBoundsException,MYFACES-3958
Disabled h:commandLink results in rendering of a span with onclick ,MYFACES-3957
ResourceHandler.libraryExists(...) does not work for resource library contracts,MYFACES-3956
"[perf] improve #{cc.attrs...} resolution, handling the map with a custom ELResolver",MYFACES-3955
[perf] Use ResourceLoaderCache for ResourceHandler.libraryExists(...),MYFACES-3954
IndexOutOfBoundException in FacesConfigurator,MYFACES-3953
"java.lang.IndexOutOfBoundsException: Index: 0, Size: 0 in FacesConfigurator",MYFACES-3952
Action not performed on first click,MYFACES-3951
Copy&Paste bug in checking last modified dates of taglibs.xml,MYFACES-3950
javax.faces.ViewState autocomplete,MYFACES-3949
Wrong check of facelets libraries last modification time in FacesConfigurator,MYFACES-3948
Passthrough Element textarea doesn't work,MYFACES-3947
Ajax listener on JsfElement components not invoked,MYFACES-3946
_ClassByteCodeAnnotationFilter does not handle SE8 .class files properly,MYFACES-3945
Calls to fcc.startComponentUniqueIdSection(...) and fcc.endComponentUniqueIdSection(...) should be surrounded in a try finally block,MYFACES-3944
"IE 7,8,9 Compatibility issue",MYFACES-3943
<f:viewParam binding> causes NPE because UIViewRoot is null,MYFACES-3942
FaceletCacheImpl#isFaceletCached(URL) always returns false,MYFACES-3941
FlowScopeBeanHolder calls ApplicationContextBean on PreDestroy,MYFACES-3940
ui:repeat uses wrong items when the background list is modified,MYFACES-3939
Faces Flow requires cleanup strategy,MYFACES-3938
Set default for org.apache.myfaces.NUMBER_OF_SEQUENTIAL_VIEWS_IN_SESSION to 4,MYFACES-3937
Flash object requires cleanup strategy when client window feature is used,MYFACES-3936
h:inputTextarea with null value throws NullPointerException,MYFACES-3935
"f:view transient=""true"" does not work on when client side state saving is enabled and PSS is set to false",MYFACES-3934
NullPointerException StateManagerImpl.restoreView(StateManagerImpl.java:147),MYFACES-3933
FacesConfigurator causes IllegalStateException,MYFACES-3932
RelocatableResourceHandler tag + inner f:facet = NullPointerException,MYFACES-3931
java.lang.IllegalArgumentException: null at HtmlRenderKitImpl.createResponseWriter,MYFACES-3930
Update org.apache.myfaces.CONFIG_REFRESH_PERIOD to JSF 2.2,MYFACES-3929
MyFaces doesn't resolve in OSGi environment when Servlet API 3.1 is present,MYFACES-3928
Myfaces 2.2.4 not compatible with Google App Engine,MYFACES-3927
Disabled h:outputLink renders invalid attributes,MYFACES-3926
<p:commandButton>'s actionListenre with <p:dataTable> doesn't work,MYFACES-3925
Memory leak in ViewScopeBeanHolder,MYFACES-3924
MyFaces uses Servlet 3.0 only method cookie.setHttpOnly(true),MYFACES-3923
Migrating from 2.0.11 to 2.2.x,MYFACES-3922
NullPointerException at SerializedViewCollection,MYFACES-3921
"HtmlPanelGroup implements ClientBehaviorHolder, but does not render it's behaviors",MYFACES-3920
javax.faces.SEPARATOR_CHAR Applied Incorrectly to commandLink Hidden Field,MYFACES-3919
DefaultFaceletsStateManagementStrategy: keep list of removed client IDs stable over time,MYFACES-3918
Remove compile scope dependency - geronimo jcdi spec 1.0 from myfaces-api maven build,MYFACES-3917
Wrong navigation handling for <if> clause on null outcome,MYFACES-3916
NullpointerException during UIOuput state handling,MYFACES-3915
HtmlScriptRenderer marks stylesheet as rendered,MYFACES-3914
NPE in SwitchAjaxExceptionHandlerWrapperImpl,MYFACES-3913
Exception when loading FlowScopeBeanHolder,MYFACES-3912
Can't execute a second form from another form,MYFACES-3911
"could not deserialize the request scoped attribute with name: ""org.apache.myfaces.COMPONENT_STACK""",MYFACES-3910
java.lang.ClassNotFoundException: org.apache.myfaces.shared_impl.renderkit.html.HtmlTableRendererBase ,MYFACES-3909
readonly for selectBooleanCheckbox doesn,MYFACES-3908
NullPointerException in ManagedBeanBuilder after server restart,MYFACES-3907
jsf.js: evaled javascript errors are not handled the same way as other errors,MYFACES-3906
The caption facet is not documented for the tag <h:datatable>.,MYFACES-3905
jsf.util.Chain() is rendered with wrong event source,MYFACES-3904
Allow custom validation message per validator,MYFACES-3903
jsf.js: error handling output improvement,MYFACES-3902
f:selectItems ignore itemDescription within h:selectOneListbox,MYFACES-3901
PostConstruct annotation method not invoked,MYFACES-3900
Messages missing after reload with CACHE_EL_EXPRESSIONS = alwaysRecompile,MYFACES-3899
Response returns multiple <?xml version='1.0' encoding='utf-8'?> headers,MYFACES-3898
AttributeHandler does not work for composite:implementation,MYFACES-3897
AjaxHandler does not consider UserTagHandler as wrapped elements,MYFACES-3896
Missed space character in ViewExpiredException getMessage(),MYFACES-3895
Make the duplicate client id check optional in development mode,MYFACES-3894
NullPointerException in ErrorPageWriter._writeAttributes [Line 1304],MYFACES-3893
Create a option to execute BeanValidation before JSF-Validation,MYFACES-3892
Don't write flash-scoped variables in ErrorPageWriter when FLASH_SCOPE_DISABLED=true,MYFACES-3891
Component added using vdl.createComponent(...) is removed when javax.faces.FACELETS_REFRESH_PERIOD is not -1,MYFACES-3890
Handling PostConstruct annotations - wrong order : under wildfly-8.0.0.Final,MYFACES-3889
Resource from classpath locked on windows after change in eclipse,MYFACES-3888
UIDebug is alwas rendered=true (no ValueExpression evaluation),MYFACES-3887
SerializedViewCollection does not update it's _keys list when _serializedViews contains key,MYFACES-3886
Add missing licenses to trivial js and xml files and exclude spi files in pom to clean up rat output,MYFACES-3885
Add missing impl/src/test/resources/org/apache/myfaces/view/facelets/**/testComposite/*.xhtml licenses,MYFACES-3884
c:forEach with PSS enabled fails when add multiple rows,MYFACES-3883
Page with template and stylesheet not rendered correctly,MYFACES-3882
CLIENT_WINDOW_MODE generates new windowid even if one exists,MYFACES-3881
Allow view state to be rendered in the beginning of the form,MYFACES-3880
Passthrough attributes for f:selectItem and f:selectItems should be rendered by associated components,MYFACES-3879
"Update existing wrappers against new features in JSF 2.2 (ViewHandlerWrapper, ...)",MYFACES-3878
Add @ListenerFor(systemEventClass = PostRestoreStateEvent.class) causes StackOverflowException on MyFaces 2.2,MYFACES-3877
